абаза	абаза́,аба́за
Барановичів	Барано́вичів,Бара́новичів
баранці	баранці́,бара́нці
барвінівська	барвіні́вська,барві́нівська
барвінівське	барвіні́вське,барві́нівське
барвінівський	барвіні́вський,барві́нівський
барвінівським	барвіні́вським,барві́нівським
барвінівськими	барвіні́вськими,барві́нівськими
барвінівських	барвіні́вських,барві́нівських
барвінівські	барвіні́вські,барві́нівські
барвінівській	барвіні́вській,барві́нівській
барвінівськім	барвіні́вськім,барві́нівськім
барвінівського	барвіні́вського,барві́нівського
барвінівської	барвіні́вської,барві́нівської
барвінівському	барвіні́вському,барві́нівському
барвінівською	барвіні́вською,барві́нівською
барвінівську	барвіні́вську,барві́нівську
барда	барда́,ба́рда
барди	барди́,ба́рди
